ش. سوال,ش. عبارت,,عبارت,نتیجه,,f,j,,,,,,,,
1,1,,                            معمولاً احساسات و عواطف خود را در خويش نگه می دارم.,I,0,0,,,I/E,S/N,T/F,P/J,,,
1,2,,                            معمولاً احساسات و عواطف خودرا با ديگران و به راحتی درميان مي گذارم. ,E,1,0,,,0,,,,question_1  I,,I
2,3,,"                            براي من امور قطعی، عينی و مشخص مهم هستند. ",S,0,0,,,0,,,,question_2  N,,N
2,4,,"                            براي من ايده ها، استنباط ها و الهامات مهم هستند.",N,1,0,,,,,,,question_3  T,,T
3,5,,"                            هنگام تصميم گيری به آنچه که منطق و خرد بر آن حکم می کند، عمل می کنم.",T,0,0,,,,,,,question_4  J,,J
3,6,,"                            هنگام تصميم گيری به آنچه که احساسات و دلم گواه می دهد، عمل می کنم.",F,1,0,,,,,,,question_5  E,,E
4,7,,                            دوست دارم در شرايط انعطاف پذير و متغيری زندگی کنم.,P,0,0,,,,,,,question_6  N,,N
4,8,,                            دوست دارم همه چيز منظم و برنامه ريزی شده باشد.,J,1,0,,,,,,,question_7  F,,F
5,9,,                            دوست دارم در زمينه های محدودی اطلاعات داشته باشم ولي در هر زمينه عميق و کامل.,I,0,0,,,,,,,question_8  J,,J
5,10,,                            دوست دارم در زمينه های زيادی اطلاعات داشته باشم ولی در هر زمينه تا حد کم و سطحی.,E,1,0,,,,,,,question_9  E,,E
6,11,,                            بيشتر اوقات به واقعيات عينی (آنچه که وجود دارد ) توجه می کنم. ,S,0,0,,,,,,,question_10 N,,N
6,12,,                            بيشتر اوقات حقايق ( آنچه که بايد وجود داشته باشد ) را در ذهن و تخيل خود مجسم مي کنم.,N,1,0,,,,,,,question_11 T,,T
7,13,,                            از نظر من يک قاضی و داور عادل براي جامعه مفيدتر است.,T,0,0,,,,,,,question_12 P,,P
7,14,,                            از نظر من يک معلم و مربی مهربان برای جامعه مفيدتر است.,F,1,0,,,,,,,question_13 I,,I
8,15,,                            ترجيحاً ملاقاتها و ديدارهای خود را بدون برنامه قبلی و آزادانه انجام می دهم. ,P,0,0,,,,,,,question_14 S,,S
8,16,,                            ترجيحاً ديدار با افراد و وعده ملاقات خود را از پيش تعيين می کنم.,J,1,0,,,,,,,question_15 F,,F
9,17,,                            کم حرف و محتاط هستم و علاقه ای به جلب توجه ديگران به خود ندارم.,I,0,0,,,,,,,question_16 J,,J
9,18,,                            توجه ديگران را به خود جلب می کنم.,E,1,0,,,,,,,question_17 I,,I
10,19,,                            اگر معلم بودم ترجيح می دادم دروسي را تدريس کنم که واقعيات و امور قطعی وعينی را شامل شوند.,S,0,0,,,,,,,question_18 N,,N
10,20,,"                            اگر معلم بودم، ترجيحاً دروسی را تدريس می کردم که حقايق و نظريه ها و تئوری ها را شامل شوند (مانند فلسفه).",N,1,0,,,,,,,question_19 T,,T
11,21,,"                            قاطع، محکم و استوار هستم.",T,0,0,,,,,,,question_20 P,,P
11,22,,"                            انعطاف پذير ، ملايم و لطيف هستم. ",F,1,0,,,,,,,question_21 I,,I
12,23,,                            غالباً انجام کارهای پيش پا افتاده و جزئی را فراموش می کنم.,P,0,0,,,,,,,question_22 N,,N
12,24,,"                            به منظور جلوگيری از فراموش شدن انجام کارها، آن ها را يادداشت می کنم.",J,1,0,,,,,,,question_23 T,,T
13,25,,"                            در مهمانی ها، جلسات وگردهمايی ها منتظر مي مانم تا ديگران به سوی من بيايند.",I,0,0,,,,,,,question_24 J,,J
13,26,,"                            در مهماني ها، جلسات وگردهمايی ها من سر صحبت را با ديگران باز می کنم.",E,1,0,,,,,,,question_25 I,,I
14,27,,                            به جزئيات امور توجه زيادی دارم.,S,0,0,,,,,,,question_26 S,,S
14,28,,                            بيشتر کليت هر موضوعی برايم مهم است و به جزئيات آن توجه زيادی نمی کنم.,N,1,0,,,,,,,question_27 T,,T
15,29,,                            به آينده اهميت زيادی داده و  برای آن برنامه ريزی می کنم.,T,0,0,,,,,,,question_28 J,,J
15,30,,                            خيلی به آينده فکر نمی کنم.,F,1,0,,,,,,,question_29 I,,I
16,31,,                            معمولاً کارها را شروع می کنم و حين اجرا به رفع اشکالات اجرايی وتدارک مورد نياز می پردازم.,P,0,0,,,,,,,question_30 S,,S
16,32,,                            قبل از اجرای طرح ها وکارها برنامه ريزی  انجام می دهم.,J,1,0,,,,,,,question_31 T,,T
17,33,,                            مايل هستم دوستان کم همراه با ارتباط زياد و صميمانه داشته باشم.,I,0,0,,,,,,,question_32 J,,J
17,34,,                            مايل هستم دوستان زياد همراه با ارتباط محدود داشته باشم.,E,1,0,,,,,,,question_33 I,,I
18,35,,                            به استفاده از امکانات و توانايی های موجود تاکيد دارم.,S,0,0,,,,,,,question_34 S,,S
18,36,,                            نوآوری و خلاقيت داشتن در کارها برايم اولويت دارد.,N,1,0,,,,,,,question_35 T,,T
19,37,,                            بيشتر پيرو منطق و دليل هستم.,T,0,0,,,,,,,question_36 J,,J
19,38,,                            بيشتر پيرو احساس و عاطفه هستم. ,F,1,0,,,,,,,question_37 E,,E
20,39,,"                            در انجام کارهايی که از قبل پيش بينی نشده و يا فعاليت هايی که به سرعت و عکس العمل فوری نياز دارد، موفق هستم.",P,0,0,,,,,,,question_38 N,,N
20,40,,                            در انجام کارهايی که بر اساس طرح و برنامه قبلی مي باشد موفق هستم.,J,1,0,,,,,,,question_39 T,,T
21,41,,                            به طور معمول دوستان کمی داشته ولي روابط صميمانه ای با آنها دارم.,I,0,0,,,,,,,question_40 P,,P
21,42,,                            به طور معمول با افراد زيادی دوستی و آشنايی دارم.,E,1,0,,,,,,,question_41 E,,E
22,43,,                            عمدتا از زندگی در زمان حال لذت زيادی برده و خيلي به آينده فکر نمی کنم.,S,0,0,,,,,,,question_42 N,,N
22,44,,                            به آينده توجه زيادي داشته و آن را پيش بيني مي کنم.,N,1,0,,,,,,,question_43 T,,T
23,45,,                            معمولا مغز من بر قلب من حاکم است.,T,0,0,,,,,,,question_44 J,,J
23,46,,                            معمولا قلب من بر مغز من حاکم است.,F,1,0,,,,,,,question_45 E,,E
24,47,,                            معمولاً در کارهای روزانه مايلم بر حسب ضرورتها و فوريت هايی که پيش می آيد عمل کنم.,P,0,0,,,,,,,question_46 S,,S
24,48,,                            معمولاً در کارهاي روزانه مايلم که طبق برنامه عمل کنم.,J,1,0,,,,,,,question_47 T,,T
25,49,,                            از احساسات و عواطف درونی خود کمتر با ديگران صحبت می کنم.,I,0,0,,,,,,,question_48 P,,P
25,50,,                            افکار و عواطف خود را آزاد و راحت بيان می کنم.,E,1,0,,,,,,,question_49 I,,I
26,51,,                            کلمات مشخص و دقيق را ترجيح داده و بکار مي برم.,S,0,0,,,,,,,question_50 S,,S
26,52,,                            کلمات تمثيلی و کنايه ای را ترجيح داده و بکار می برم.,N,1,0,,,,,,,question_51 T,,T
27,53,,                            در تصميم گيری ها رعايت عدالت و انصاف از همه چيز برايم مهم تر است.,T,0,0,,,,,,,question_52 J,,J
27,54,,                            در تصميم گيری ها رعايت حال و شرايط ديگران از همه چيز برايم مهم تر است. ,F,1,0,,,,,,,question_53 I,,I
28,55,,                            معمولاً کارها را شروع می کنم و در حين اجرا به رفع مشکلات پيش آمده می پردازم.,P,0,0,,,,,,,question_54 N,,N
28,56,,                            معمولاً قبل از شروع کارها مقدمات کار را آماده و مشکلات را پيش بينی می کنم. ,J,1,0,,,,,,,question_55 T,,T
29,57,,                            کارهای فردی را ترجيح می دهم.,I,0,0,,,,,,,question_56 J,,J
29,58,,                            کارهای گروهی را ترجيح می دهم.,E,1,0,,,,,,,question_57 E,,E
30,59,,                            واقعيات ( آنچه که هست ) و پديده ها برايم جالب اند.,S,0,0,,,,,,,question_58 N,,N
30,60,,                            حقايق ( آنچه که بايد باشد) و ايده ها برايم جالب اند.,N,1,0,,,,,,,question_59 T,,T
