ش. سوال	ش. عبارت	گزینه	نتیجه	عبارت
1	1	الف	I	معمولاً احساسات و عواطف خود را در خويش نگه می دارم.
1	2	ب	E	معمولاً احساسات و عواطف خودرا با ديگران و به راحتی درميان مي گذارم. 
2	3	الف	S	"براي من امور قطعی، عينی و مشخص مهم هستند. "
2	4	ب	N	"براي من ايده ها، استنباط ها و الهامات مهم هستند."
3	5	الف	T	"هنگام تصميم گيری به آنچه که منطق و خرد بر آن حکم می کند، عمل می کنم."
3	6	ب	F	"هنگام تصميم گيری به آنچه که احساسات و دلم گواه می دهد، عمل می کنم."
4	7	الف	P	دوست دارم در شرايط انعطاف پذير و متغيری زندگی کنم.
4	8	ب	J	دوست دارم همه چيز منظم و برنامه ريزی شده باشد.
5	9	الف	I	دوست دارم در زمينه های محدودی اطلاعات داشته باشم ولي در هر زمينه عميق و کامل.
5	10	ب	E	دوست دارم در زمينه های زيادی اطلاعات داشته باشم ولی در هر زمينه تا حد کم و سطحی.
6	11	الف	S	بيشتر اوقات به واقعيات عينی (آنچه که وجود دارد ) توجه می کنم. 
6	12	ب	N	بيشتر اوقات حقايق ( آنچه که بايد وجود داشته باشد ) را در ذهن و تخيل خود مجسم مي کنم.
7	13	الف	T	از نظر من يک قاضی و داور عادل براي جامعه مفيدتر است.
7	14	ب	F	از نظر من يک معلم و مربی مهربان برای جامعه مفيدتر است.
8	15	الف	P	ترجيحاً ملاقاتها و ديدارهای خود را بدون برنامه قبلی و آزادانه انجام می دهم. 
8	16	ب	J	ترجيحاً ديدار با افراد و وعده ملاقات خود را از پيش تعيين می کنم.
9	17	الف	I	کم حرف و محتاط هستم و علاقه ای به جلب توجه ديگران به خود ندارم.
9	18	ب	E	توجه ديگران را به خود جلب می کنم.
10	19	الف	S	اگر معلم بودم ترجيح می دادم دروسي را تدريس کنم که واقعيات و امور قطعی وعينی را شامل شوند.
10	20	ب	N	"اگر معلم بودم، ترجيحاً دروسی را تدريس می کردم که حقايق و نظريه ها و تئوری ها را شامل شوند (مانند فلسفه)."
11	21	الف	T	"قاطع، محکم و استوار هستم."
11	22	ب	F	"انعطاف پذير ، ملايم و لطيف هستم. "
12	23	الف	P	غالباً انجام کارهای پيش پا افتاده و جزئی را فراموش می کنم.
12	24	ب	J	"به منظور جلوگيری از فراموش شدن انجام کارها، آن ها را يادداشت می کنم."
13	25	الف	I	"در مهمانی ها، جلسات وگردهمايی ها منتظر مي مانم تا ديگران به سوی من بيايند."
